,Zip,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29
97,85253,Home & Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,85002,Home Cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,85071,Home Cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,85258,Home Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,85070,Home Services,Party & Event Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,85259,Home Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,85078,Home Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,85233,Home Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,85282,Home Services,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,85353,Home Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,85138,Home Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,85140,Keys & Locksmiths,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,85010,Landscaping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,85284,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,85373,Local Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,85026,Local Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,85335,Local Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,85435,Local Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,85143,Motorcycle Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,85381,Movers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,85383,Pest Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,85338,Pest Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,85213,Photographers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,85379,Photographers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,86006,Physical Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,85388,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,85323,Public Services & Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,85106,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,85225,Mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,85119,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,85236,Specialty Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,85305,Tax Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,85205,Video/Film Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,85541,Web Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,
