Unnamed: 0,business_id,Shortlisted?,ProjectCategory,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,label,PARKING,BikeParking,HairSpecializesIn_coloring,CONSUMER_SERVICE,NoiseLevel,Alcohol,Ambience_romantic,HappyHour,RECOMMENDATION,DogsAllowed,SPECIAL_FOOD,AgesAllowed,Unnamed: 0.1,weekday,weekend,averghour,if_Chain,polarity
2821,kdnIIKSd3NY3Eo22MXK8Xg,Yes,Italian,"""Romano's Macaroni Grill""",,"""5035 E Ray Rd""",Phoenix,AZ,85044,33.3192716,-111.9746411,3.0,18,0,Restaurants;Italian,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2090,56.0,23.0,11.28571429,1,0.13895996628325644
2822,CtgkC2uKfncBLlCPBeUKvw,Yes,Mexican,"""Las Glorias Restaurant""",,"""5220 S Central Ave""",Phoenix,AZ,85040,33.39868,-112.0736674,3.0,30,1,Seafood;Restaurants;Mexican,0,1,1,0,0,0,0,0,0,0,0,0.0,0,3440,0.0,0.0,0.0,0,0.1732759169649312
2823,8rlTOw0IA1TENURMBJpaXw,Yes,Breakfast,"""Morning Glory Cafe""",,"""6106 S 32nd St""",Phoenix,AZ,85042,33.3911324,-112.01653799999998,4.0,278,1,Sandwiches;Breakfast & Brunch;Salad;Restaurants,0,0,0,0,1,0,0,0,0,0,0,0.0,0,1041,12.0,10.0,3.142857143,0,0.2850209182938567
2824,xFN8mRubo3G0oIzJwc8XBA,Yes,Mexican,"""Filiberto's Mexican Food""",,"""3033 E. Indian School Rd""",Phoenix,AZ,85016,33.49489501,-112.016641,3.0,47,1,Mexican;Breakfast & Brunch;Restaurants,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2420,0.0,0.0,0.0,1,0.21362974741119034
2825,HBZd08iiOuIdZHyt4mRSSQ,Yes,Bar,"""Town Talk II""",,"""3509 N 19th Ave""",Phoenix,AZ,85015,33.4899159,-112.0996154,4.0,78,0,Barbeque;Restaurants,0,1,0,0,0,0,0,0,0,2,0,0.0,0,4105,46.0,10.0,8.0,0,0.25196295427713605
2826,zNGYsFeG_7XEBodbtfux5Q,Yes,Indian,"""Khyber Halal""",,"""4030 N 24th St""",Phoenix,AZ,85016,33.494220899999995,-112.0304976,4.0,243,1,Restaurants;Afghan;Indian;Pakistani,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2447,47.5,9.5,8.142857142999999,1,0.2337531059773395
2827,A3QOTEpt6hRd4Ta5qFpwqg,Yes,Pizza,"""Villa Italian Kitchen""",,"""Premium Outlets Way""",Phoenix,AZ,85048,33.28735756,-111.9735303,1.5,16,0,Pizza;Italian;Food;Restaurants,0,0,0,0,0,0,0,0,0,0,0,0.0,0,804,55.0,20.0,10.71428571,0,0.14622689822876436
2828,BpugveMre-_-CnNdo7UeUA,Yes,Deli,"""Eat This!""",,"""3502 W Cactus Rd""",Phoenix,AZ,85029,33.596674799999995,-112.1344575,3.5,14,1,Delis;Fast Food;Restaurants,-1,1,0,0,0,0,0,0,0,0,0,0.0,0,3100,40.0,16.0,8.0,1,0.19189507294780392
2829,CbpQD3NxSEoN4v7VDXYHAA,Yes,Sandwiches,"""GreenMix""",,"""3961 E Chandler Blvd, Ste 100""",Phoenix,AZ,85048,33.303732600000004,-111.9987787,3.0,23,0,Food;Sandwiches;Salad;Restaurants;Asian Fusion;American (Traditional),0,1,1,0,0,0,0,0,0,0,0,0.0,0,792,55.0,19.5,10.64285714,0,0.1548832402357247
2830,M8Co6Z9U7bPke7Xq9fFRBg,Yes,Thai,"""Tara Thai""",,"""245 E Bell Rd, Ste 9""",Phoenix,AZ,85023,33.631458,-112.11195,3.5,23,0,Thai;Restaurants;Buffets,0,1,1,0,0,0,0,0,0,0,0,0.0,0,3553,0.0,0.0,0.0,0,0.2543842129546266
